#      date    lon    lat    value 
 1979-01-01 315.75  20.75 -9.96921e+36 
 1979-01-01 316.25  20.75 -9.96921e+36 
 1979-01-01 316.75  20.75 -9.96921e+36 
 1979-01-01 317.25  20.75 -9.96921e+36 
 1979-01-01 317.75  20.75 -9.96921e+36 
 1979-01-01 318.25  20.75 -9.96921e+36 
 1979-01-01 318.75  20.75 -9.96921e+36 
 1979-01-01 319.25  20.75 -9.96921e+36 
 1979-01-01 319.75  20.75 -9.96921e+36 
 1979-01-01 320.25  20.75 -9.96921e+36 
 1979-01-01 320.75  20.75 -9.96921e+36 
 1979-01-01 321.25  20.75 -9.96921e+36 
 1979-01-01 321.75  20.75 -9.96921e+36 
 1979-01-01 322.25  20.75 -9.96921e+36 
 1979-01-01 322.75  20.75 -9.96921e+36 
 1979-01-01 323.25  20.75 -9.96921e+36 
 1979-01-01 323.75  20.75 -9.96921e+36 
 1979-01-01 324.25  20.75 -9.96921e+36 
 1979-01-01 324.75  20.75 -9.96921e+36 
 1979-01-01 325.25  20.75 -9.96921e+36 
 1979-01-01 325.75  20.75 -9.96921e+36 
 1979-01-01 326.25  20.75 -9.96921e+36 
 1979-01-01 326.75  20.75 -9.96921e+36 
 1979-01-01 327.25  20.75 -9.96921e+36 
 1979-01-01 327.75  20.75 -9.96921e+36 
 1979-01-01 328.25  20.75 -9.96921e+36 
 1979-01-01 328.75  20.75 -9.96921e+36 
 1979-01-01 329.25  20.75 -9.96921e+36 
 1979-01-01 329.75  20.75 -9.96921e+36 
 1979-01-01 330.25  20.75 -9.96921e+36 
 1979-01-01 330.75  20.75 -9.96921e+36 
 1979-01-01 331.25  20.75 -9.96921e+36 
 1979-01-01 331.75  20.75 -9.96921e+36 
 1979-01-01 332.25  20.75 -9.96921e+36 
 1979-01-01 332.75  20.75 -9.96921e+36 
 1979-01-01 333.25  20.75 -9.96921e+36 
 1979-01-01 333.75  20.75 -9.96921e+36 
 1979-01-01 334.25  20.75 -9.96921e+36 
 1979-01-01 334.75  20.75 -9.96921e+36 
 1979-01-01 335.25  20.75 -9.96921e+36 
 1979-01-01 335.75  20.75 -9.96921e+36 
 1979-01-01 336.25  20.75 -9.96921e+36 
 1979-01-01 336.75  20.75 -9.96921e+36 
 1979-01-01 337.25  20.75 -9.96921e+36 
 1979-01-01 337.75  20.75 -9.96921e+36 
 1979-01-01 338.25  20.75 -9.96921e+36 
 1979-01-01 338.75  20.75 -9.96921e+36 
 1979-01-01 339.25  20.75 -9.96921e+36 
 1979-01-01 339.75  20.75 -9.96921e+36 
 1979-01-01 340.25  20.75 -9.96921e+36 
 1979-01-01 340.75  20.75 -9.96921e+36 
 1979-01-01 260.25  20.25        0 
 1979-01-01 260.75  20.25 0.146207 
 1979-01-01 261.25  20.25  1.07137 
 1979-01-01 261.75  20.25  3.85254 
 1979-01-01 262.25  20.25  7.62035 
 1979-01-01 262.75  20.25  11.2027 
